"sample_id","true_label","k=3","k=4","k=5","k=6","k=7"
"F1649","LumA","3","4","4","6","2"
"F1650","LumA","1","2","5","3","6"
"F1651","LumA","1","2","5","3","6"
"F1652","Normal","1","2","3","1","7"
"F1653","Basal","2","3","2","2","4"
"F1654","LumB","2","1","1","5","3"
"F1655","LumA","3","4","3","1","7"
"F1656","LumB","1","2","3","1","7"
"F1657","LumA","1","2","5","3","7"
"F1658","LumA","3","4","4","6","2"
"F1659","Her2","3","1","3","5","3"
"F1660","LumA","1","2","3","1","7"
"F1661","LumA","1","2","3","1","7"
"F1662","LumA","3","4","4","6","2"
"F1663","LumA","1","2","5","3","6"
"F1664","LumA","1","2","5","3","6"
"F1665","Basal","2","3","2","2","4"
"F1666","LumB","1","1","1","5","3"
"F1667","LumB","3","4","3","1","7"
"F1668","LumB","3","4","3","1","7"
"F1669","LumA","1","2","3","1","7"
"F1670","Her2","1","1","1","5","3"
"F1671","LumA","3","4","3","1","7"
"F1672","LumA","3","4","3","1","7"
"F1673","LumA","1","2","5","3","6"
"F1674","LumA","1","2","3","1","7"
"F1675","LumA","1","2","3","1","7"
"F1676","LumA","1","2","5","3","6"
"F1677","LumA","1","2","5","3","6"
"F1678","LumB","3","4","4","6","1"
"F1679","LumB","3","4","4","5","3"
"F1680","Basal","2","3","2","2","4"
"F1681","LumA","1","2","5","3","6"
"F1682","LumB","1","1","1","5","3"
"F1683","LumA","3","4","3","1","7"
"F1684","LumA","1","2","5","3","6"
"F1685","LumB","3","4","4","6","1"
"F1686","Normal","1","2","5","3","6"
"F1687","LumA","3","4","3","1","7"
"F1688","LumA","1","2","5","3","6"
"F1689","LumA","3","4","4","6","2"
"F1690","Basal","2","3","2","2","4"
"F1691","LumA","3","4","4","6","2"
"F1692","LumA","3","4","3","1","7"
"F1693","LumA","1","2","3","1","7"
"F1694","LumB","1","1","3","5","3"
"F1695","LumA","1","2","5","3","6"
"F1696","LumA","1","2","3","1","7"
"F1697","LumB","3","4","3","1","7"
"F1698","LumA","1","2","5","3","6"
"F1699","Normal","1","1","5","3","6"
"F1700","Normal","1","2","5","3","6"
"F1701","LumA","1","2","3","1","7"
"F1702","LumA","1","2","5","3","6"
"F1703","LumA","1","2","5","3","6"
"F1704","LumA","1","2","5","1","7"
"F1705","LumB","3","4","4","6","2"
"F1706","LumA","1","2","5","3","6"
"F1707","LumA","1","2","3","1","7"
"F1708","Her2","3","4","3","5","3"
"F1709","Normal","1","2","5","3","6"
"F1710","LumA","3","4","4","6","2"
"F1711","LumA","3","4","4","6","2"
"F1712","LumA","1","2","5","5","3"
"F1713","Basal","2","3","2","2","4"
"F1714","Normal","1","2","5","3","6"
"F1715","LumA","3","4","3","1","7"
"F1716","LumA","1","2","5","3","6"
"F1717","LumA","3","4","4","6","2"
"F1718","LumA","1","2","5","3","6"
"F1719","LumB","3","4","4","6","1"
"F1720","Basal","3","4","5","5","3"
"F1721","Basal","2","3","2","2","4"
"F1722","LumA","3","4","4","6","1"
"F1723","Basal","2","3","2","2","4"
"F1724","Her2","1","1","3","1","7"
"F1725","LumA","1","1","5","5","3"
"F1726","LumA","1","2","5","3","6"
"F1727","LumA","1","2","3","1","7"
"F1728","Her2","1","1","1","4","5"
"F1729","LumB","2","1","1","5","3"
"F1730","Normal","1","2","5","3","6"
"F1731","LumB","3","1","1","5","3"
"F1732","LumA","1","2","3","1","7"
"F1733","Her2","2","1","1","4","5"
"F1734","Normal","1","2","5","3","6"
"F1735","LumB","3","4","3","5","3"
"F1736","Normal","1","2","5","3","6"
"F1737","LumA","1","2","5","3","6"
"F1738","Basal","2","3","2","2","4"
"F1739","LumA","1","2","5","3","6"
"F1740","LumB","3","4","4","6","1"
"F1741","LumA","1","2","5","3","6"
"F1742","LumB","3","4","3","1","7"
"F1743","LumA","3","4","3","1","7"
"F1744","Basal","2","3","2","2","4"
"F1745","Her2","3","1","1","5","3"
"F1746","LumA","3","4","4","6","2"
"F1747","LumA","1","2","5","3","6"
"F1748","LumB","3","4","4","6","2"
"F1749","LumB","3","4","3","5","3"
"F1750","Her2","2","1","1","4","5"
"F1751","LumA","3","4","3","5","1"
"F1752","LumA","1","2","3","1","7"
"F1753","LumA","1","2","5","3","6"
"F1754","Her2","3","1","3","1","7"
"F1755","Basal","2","3","2","2","4"
"F1756","Normal","1","2","5","3","6"
"F1757","LumB","3","4","3","1","7"
"F1758","Normal","1","2","5","3","6"
"F1759","LumA","1","2","3","1","7"
"F1760","LumA","1","2","3","1","7"
"F1761","LumA","3","1","1","5","3"
"F1762","LumB","3","4","4","6","1"
"F1763","LumA","1","2","5","3","6"
"F1764","LumA","1","2","5","3","6"
"F1765","LumA","1","2","5","3","6"
"F1766","LumA","1","2","5","3","6"
"F1767","Her2","2","1","1","4","5"
"F1768","LumA","1","2","5","3","6"
"F1769","Basal","2","3","2","2","4"
"F1770","Basal","2","3","2","2","4"
"F1771","LumA","3","4","3","1","7"
"F1772","Basal","2","3","2","2","4"
"F1773","Basal","2","3","2","2","4"
"F1774","Basal","2","3","2","2","4"
"F1775","LumA","3","4","4","6","2"
"F1776","LumA","1","2","3","1","7"
"F1777","LumB","3","4","4","6","2"
"F1778","Her2","3","4","3","1","7"
"F1779","Her2","1","1","1","4","5"
"F1780","LumB","3","4","3","1","1"
"F1781","LumA","3","4","4","5","1"
"F1782","LumA","1","2","5","3","6"
"F1783","LumB","3","4","4","5","3"
"F1784","Basal","2","3","2","2","4"
"F1785","Basal","2","3","2","2","4"
"F1786","LumA","3","4","4","6","2"
"F1787","Normal","3","2","3","5","3"
"F1788","Normal","2","1","1","4","5"
"F1789","Normal","1","2","5","3","6"
"F1790","LumA","3","4","4","6","2"
"F1791","Basal","2","3","2","2","4"
"F1792","Normal","1","2","5","3","6"
"F1793","LumA","1","2","5","3","6"
"F1794","LumB","3","4","4","6","1"
"F1795","Basal","2","3","2","2","4"
"F1796","LumA","1","2","5","3","6"
"F1797","LumB","3","4","4","6","2"
"F1798","LumA","1","2","3","1","7"
"F1799","LumA","2","1","1","4","6"
"F1800","Normal","1","2","5","3","6"
"F1801","LumA","1","2","3","1","7"
"F1802","LumA","1","2","3","1","7"
"F1803","Her2","2","1","1","4","5"
"F1804","LumA","1","2","5","3","6"
"F1805","LumA","3","4","4","6","2"
"F1806","Her2","2","1","1","4","5"
"F1807","Basal","2","3","2","2","4"
"F1808","Basal","2","3","2","2","4"
"F1809","LumA","1","2","5","3","6"
"F1810","LumB","3","4","4","6","1"
"F1811","LumA","3","4","3","1","7"
"F1812","LumA","1","2","5","3","7"
"F1813","LumA","1","2","5","3","6"
"F1814","LumA","1","2","5","3","6"
"F1815","Normal","1","2","5","3","6"
"F1816","LumB","3","4","3","1","7"
"F1817","LumB","3","4","4","6","1"
"F1818","Normal","1","2","5","3","6"
"F1819","LumA","1","2","3","1","7"
"F1820","LumA","1","2","5","3","6"
"F1821","LumB","3","1","4","5","3"
"F1822","LumB","3","1","1","4","5"
"F1823","LumA","1","2","3","1","7"
"F1824","LumB","1","2","5","3","6"
"F1825","Her2","2","1","1","4","5"
"F1826","LumA","1","2","5","3","6"
"F1827","LumB","1","2","3","5","3"
"F1828","Basal","2","3","2","2","4"
"F1829","LumA","1","2","5","3","6"
"F1830","LumA","1","1","3","5","3"
"F1831","LumA","3","4","3","1","7"
"F1832","LumA","3","4","3","1","1"
"F1833","Her2","2","1","1","4","5"
"F1834","Normal","1","2","5","3","6"
"F1835","LumA","3","4","3","1","7"
"F1836","LumA","1","2","5","3","6"
"F1837","LumA","1","2","3","1","7"
"F1838","Normal","1","2","5","3","6"
"F1839","Basal","2","3","2","2","4"
"F1840","LumA","1","2","3","1","7"
"F1841","LumA","1","2","5","3","7"
"F1842","Her2","2","1","1","4","5"
"F1843","LumB","3","4","4","6","1"
"F1844","LumA","1","2","5","3","6"
"F1845","LumA","3","4","3","1","7"
"F1846","LumA","1","2","5","3","7"
"F1847","LumB","1","1","1","5","3"
"F1848","LumA","1","2","3","1","7"
"F1849","LumB","3","1","1","5","3"
"F1850","Basal","2","3","2","2","4"
"F1851","Her2","2","1","1","4","5"
"F1852","LumA","1","2","5","3","7"
"F1853","LumB","3","4","4","6","2"
"F1854","LumA","1","2","5","3","6"
"F1855","LumA","1","2","3","1","7"
"F1856","LumA","3","4","4","6","2"
"F1857","LumA","3","4","4","6","2"
"F1858","Basal","2","3","2","2","4"
"F1859","LumB","1","2","3","1","7"
"F1860","LumA","1","2","3","1","7"
"F1861","LumA","3","4","3","1","7"
"F1862","Her2","2","1","1","4","5"
"F1863","Normal","1","2","5","3","6"
"F1864","LumA","1","2","3","1","7"
"F1865","LumA","1","2","3","1","7"
"F1866","LumA","1","2","3","1","7"
"F1867","Her2","2","1","1","4","5"
"F1868","Basal","2","3","2","2","4"
"F1869","LumA","1","2","5","3","6"
"F1870","LumA","1","2","5","3","6"
"F1871","Her2","2","1","1","4","5"
"F1872","LumA","3","4","4","6","1"
"F1873","LumB","1","1","1","5","3"
"F1874","Her2","2","1","1","4","5"
"F1875","LumA","3","4","3","1","7"
"F1876","LumB","3","4","4","6","2"
"F1877","LumA","3","4","3","1","7"
"F1878","LumA","3","4","3","1","7"
"F1879","Her2","3","4","4","6","1"
"F1880","LumB","3","4","4","6","2"
"F1881","LumA","1","2","3","1","7"
"F1882","Basal","2","3","2","2","4"
"F1883","LumA","3","4","4","6","2"
"F1884","LumA","3","4","3","1","7"
"F1885","LumA","1","2","3","1","7"
"F1886","LumA","1","2","5","5","3"
"F1887","LumB","3","4","3","1","7"
"F1888","LumA","3","1","3","1","7"
"F1889","LumA","1","2","5","3","6"
"F1890","Her2","2","1","1","4","5"
"F1891","LumA","1","2","5","3","6"
"F1892","LumB","3","4","4","5","3"
"F1893","LumA","1","2","5","3","6"
"F1894","Her2","2","1","1","4","5"
"F1895","LumA","1","2","5","3","6"
"F1896","LumB","3","4","3","5","1"
"F1897","LumA","1","2","3","1","7"
"F1898","LumB","3","4","4","6","1"
"F1899","LumA","3","4","4","5","3"
"F1900","LumA","3","4","4","6","2"
"F1901","LumA","3","4","4","6","2"
"F1902","LumA","1","2","3","1","7"
"F1903","LumA","1","2","5","3","6"
"F1904","LumA","1","2","3","1","7"
"F1905","LumB","3","4","4","5","1"
"F1906","LumB","3","4","4","6","1"
"F1907","LumA","1","2","5","3","6"
"F1908","LumA","1","2","5","3","7"
"F1909","LumA","1","2","5","3","6"
"F1910","Normal","1","2","5","3","6"
"F1911","LumA","1","2","5","5","3"
"F1912","LumB","3","4","4","5","3"
"F1913","LumB","3","4","4","6","2"
"F1914","LumA","1","2","5","3","6"
"F1915","Her2","2","1","1","4","5"
"F1916","Basal","2","3","2","2","4"
"F1917","LumA","1","1","5","5","3"
"F1918","LumB","1","1","1","5","3"
"F1919","LumA","1","2","5","1","7"
"F1920","LumB","3","4","4","6","1"
"F1921","LumB","3","1","3","5","3"
"F1922","LumB","3","4","4","6","1"
"F1923","LumB","3","4","3","1","7"
"F1924","LumA","1","2","3","1","7"
"F1925","LumA","1","2","5","3","6"
"F1926","LumA","1","2","3","1","7"
"F1927","LumA","1","2","5","3","6"
"F1928","LumB","3","1","1","5","3"
"F1929","LumA","1","2","3","1","7"
"F1930","LumB","1","1","1","5","3"
"F1931","Normal","1","2","5","3","6"
"F1932","LumA","1","2","5","3","6"
"F1933","LumA","1","2","3","1","7"
"F1934","Her2","3","1","3","5","3"
"F1935","LumA","3","4","3","1","7"
"F1936","LumA","1","2","5","3","6"
"F1937","LumA","1","2","5","3","6"
"F1938","LumA","1","2","5","3","6"
"F1939","LumA","1","2","5","3","6"
"F1940","LumB","3","1","1","5","3"
"F1941","LumB","3","4","3","1","7"
"F1942","Normal","1","2","5","3","6"
"F1943","Her2","1","1","1","5","3"
"F1944","LumA","3","4","3","1","1"
"F1945","LumB","3","4","4","6","2"
"F1946","LumA","1","2","5","3","6"
"F1947","LumA","1","2","3","1","7"
"F1948","LumA","3","4","3","1","7"
"F1949","LumB","3","4","3","1","7"
"F1950","LumB","3","4","4","5","1"
"F1951","LumA","1","2","3","1","7"
"F1952","Basal","2","3","2","2","4"
"F1953","LumB","3","4","3","1","7"
"F1954","LumA","1","2","5","5","3"
"F1955","LumA","1","2","3","1","7"
"F1956","LumB","3","4","3","1","7"
"F1957","Her2","2","1","1","4","5"
"F1958","LumB","3","4","4","6","1"
"F1959","Basal","1","2","5","3","6"
"F1960","LumA","1","2","3","1","7"
"F1961","LumA","1","2","3","1","7"
"F1962","LumA","1","2","3","1","7"
"F1963","LumA","1","2","5","3","6"
"F1964","Basal","2","3","2","2","4"
"F1965","LumA","3","4","4","6","2"
"F1966","LumA","1","2","5","3","6"
"F1967","LumA","3","4","4","6","2"
"F1968","Normal","2","1","5","3","6"
"F1969","LumA","1","2","5","3","6"
"F1970","LumA","1","2","5","3","7"
"F1971","LumB","3","4","3","1","7"
"F1972","LumA","3","4","3","5","3"
"F1973","Her2","1","2","3","1","7"
"F1974","LumA","1","2","5","3","6"
"F1975","Basal","2","3","2","2","4"
"F1976","LumB","3","4","4","6","1"
"F1977","LumA","1","1","3","1","7"
"F1978","Normal","1","2","5","3","6"
"F1979","LumA","1","2","5","3","6"
"F1980","LumA","3","4","3","1","7"
"F1981","LumA","1","2","3","1","7"
"F1982","LumB","1","1","1","5","3"
"F1983","LumA","3","4","4","6","2"
"F1984","LumA","3","4","3","1","7"
"F1985","LumA","3","4","3","5","3"
"F1986","Her2","2","1","1","4","5"
"F1987","LumA","1","2","5","3","6"
"F1988","LumA","1","2","5","3","6"
"F1989","Basal","1","1","1","4","3"
"F1990","LumA","3","4","3","1","1"
"F1991","Basal","2","3","2","2","4"
"F1992","LumB","3","4","4","5","1"
"F1993","LumA","1","2","5","3","6"
"F1994","Normal","1","2","5","3","6"
"F1995","Her2","2","1","1","4","5"
"F1996","LumA","1","1","3","1","7"
"F1997","Normal","1","2","5","3","6"
"F1998","Normal","1","2","5","3","6"
"F1999","LumB","3","4","4","6","1"
"F2000","LumA","3","4","3","1","7"
"F2001","LumB","1","2","3","1","7"
"F2002","LumA","3","4","3","1","7"
"F2003","LumA","3","4","3","5","7"
"F2004","LumB","3","1","3","5","3"
"F2005","LumB","1","1","1","5","3"
"F2006","Basal","2","3","2","2","4"
"F2007","Her2","2","1","1","4","5"
"F2008","LumA","1","2","3","1","7"
"F2009","Her2","2","1","1","4","5"
"F2010","Her2","2","1","1","4","5"
"F2011","LumA","1","2","5","3","6"
"F2012","LumA","3","1","3","1","7"
"F2013","Her2","1","1","1","4","5"
"F2014","Normal","1","2","5","3","6"
"F2015","LumA","1","2","5","3","6"
"F2016","LumA","3","4","3","1","7"
"F2017","LumB","3","4","3","1","7"
"F2018","LumB","3","4","3","1","7"
"F2019","LumA","3","4","4","1","1"
"F2020","LumB","3","4","4","5","3"
"F2021","LumA","3","4","3","1","7"
"F2022","LumB","3","4","3","5","3"
"F2023","Basal","2","1","1","4","5"
"F2024","Her2","1","1","1","4","5"
"F2025","Normal","1","2","5","3","6"
"F2026","LumA","1","2","3","1","7"
"F2027","Normal","1","2","5","3","6"
"F2028","LumA","3","4","3","1","7"
"F2029","Normal","1","1","5","3","6"
"F2030","LumB","3","4","3","5","3"
"F2031","LumA","1","2","5","3","6"
"F2032","Her2","2","1","1","4","5"
"F2033","Basal","2","3","2","2","4"
"F2034","LumB","3","4","3","5","1"
"F2035","LumA","1","2","3","1","7"
"F2036","Basal","2","3","2","2","4"
"F2037","LumB","3","4","4","6","2"
"F2038","Her2","2","1","1","4","5"
"F2039","LumB","3","1","1","5","3"
"F2040","Her2","1","1","3","1","7"
"F2041","LumA","1","2","5","3","6"
"F2042","Basal","1","1","3","1","7"
"F2043","LumA","1","2","3","1","7"
"F2044","Normal","1","2","5","3","6"
"F2045","Normal","1","2","5","3","6"
"F2046","LumA","1","2","5","3","6"
"F2047","LumB","3","4","3","1","7"
"F2048","LumB","3","1","1","5","3"
"F2049","LumA","1","2","5","3","6"
"F2050","Basal","2","3","2","2","4"
"F2051","LumA","1","2","3","1","7"
"F2052","Normal","1","2","5","3","6"
"F2053","LumA","3","4","4","6","2"
"F2054","Basal","2","3","2","2","4"
"F2055","LumA","1","2","5","3","6"
"F2056","LumB","1","2","3","1","7"
"F2057","Basal","2","3","2","2","4"
"F2058","LumA","3","4","3","1","1"
"F2059","Basal","2","3","2","2","4"
"F2060","LumB","3","4","3","5","3"
"F2061","LumA","3","4","4","5","3"
"F2062","LumA","1","2","3","1","7"
"F2063","Normal","1","2","5","3","6"
"F2064","LumA","1","2","5","3","6"
"F2065","LumA","3","4","4","1","7"
"F2066","LumA","1","2","5","3","6"
"F2067","Basal","2","3","2","2","4"
"F2068","LumB","3","1","1","5","3"
"F2069","Her2","2","1","1","4","5"
"F2070","LumA","1","2","3","1","7"
"F2071","LumA","1","2","3","1","7"
"F2072","LumB","3","4","3","1","7"
"F2073","Her2","2","1","1","5","3"
