"sample_id","true_label","k=3","k=4","k=5","k=6","k=7"
"F3248","LumA","2","2","2","2","2"
"F3249","LumA","2","2","2","2","2"
"F3250","Her2","3","3","4","6","6"
"F3251","LumB","3","3","4","4","4"
"F3252","LumA","2","2","2","2","2"
"F3253","LumB","2","2","3","3","3"
"F3254","Basal","1","1","1","1","1"
"F3255","LumA","3","4","5","5","5"
"F3256","LumA","3","3","4","4","4"
"F3257","LumA","2","2","2","2","2"
"F3258","LumA","2","2","3","3","3"
"F3259","Normal","3","4","5","5","5"
"F3260","LumA","2","2","3","3","7"
"F3261","LumA","3","4","5","5","5"
"F3262","LumB","2","2","2","2","2"
"F3263","Normal","3","4","5","5","5"
"F3264","LumA","3","4","5","5","5"
"F3265","LumB","2","2","3","3","7"
"F3266","LumA","2","2","2","2","2"
"F3267","Her2","2","2","2","2","2"
"F3268","Her2","3","3","4","6","6"
"F3269","LumB","2","2","3","3","3"
"F3270","LumA","2","2","3","3","7"
"F3271","LumB","2","2","2","2","2"
"F3272","LumA","3","4","5","5","5"
"F3273","LumA","3","4","5","5","5"
